0月0日,,,10,名詞,一般,*,*,*,*,ゼロガツゼロニチ,ゼロガツゼロニチ,ゼロガツゼロニチ
0年0月,,,10,名詞,一般,*,*,*,*,ゼロネンゼロガツ,ゼロネンゼロガツ,ゼロネンゼロガツ
0月期,,,10,名詞,一般,*,*,*,*,ゼロガツキ,ゼロガツキ,ゼロガツキ
0年0月期,,,10,名詞,一般,*,*,*,*,ゼロネンゼロガツキ,ゼロネンゼロガツキ,ゼロネンゼロガツキ
0月,,,9,名詞,一般,*,*,*,*,ゼロガツ,ゼロガツ,ゼロガツ
0年度,,,10,名詞,一般,*,*,*,*,ゼロネンド,ゼロネンド,ゼロネンド
0割,,,10,名詞,一般,*,*,*,*,ゼロワリ,ゼロワリ,ゼロワリ
0年,,,9,名詞,一般,*,*,*,*,ゼロネン,ゼロネン,ゼロネン
0年間,,,9,名詞,一般,*,*,*,*,ゼロネンカン,ゼロネンカン,ゼロネンカン
0月間,,,9,名詞,一般,*,*,*,*,ゼロゲツカン,ゼロゲツカン,ゼロゲツカン
0日間,,,9,名詞,一般,*,*,*,*,ゼロニチカン,ゼロニチカン,ゼロニチカン
0日,,,9,名詞,一般,*,*,*,*,ゼロニチ,ゼロニチ,ゼロニチ
0カ月,,,10,名詞,一般,*,*,*,*,ゼロカガツ,ゼロカガツ,ゼロカガツ
0ヵ月,,,10,名詞,一般,*,*,*,*,ゼロカガツ,ゼロカガツ,ゼロカガツ
0%,,,10,名詞,一般,*,*,*,*,ゼロパーセント,ゼロパーセント,ゼロパーセント
0％,,,10,名詞,一般,*,*,*,*,ゼロパーセント,ゼロパーセント,ゼロパーセント
0兆,,,30,名詞,一般,*,*,*,*,ゼロチョウ,ゼロチョウ,ゼロチョウ
0億,,,30,名詞,一般,*,*,*,*,ゼロオク,ゼロオク,ゼロオク
0万,,,30,名詞,一般,*,*,*,*,ゼロマン,ゼロマン,ゼロマン
0位,,,10,名詞,一般,*,*,*,*,ゼロイ,ゼロイ,ゼロイ
-0円,,,10,名詞,一般,*,*,*,*,マイナスゼロエン,マイナスゼロエン,マイナスゼロエン
-0,,,10,名詞,一般,*,*,*,*,マイナスゼロ,マイナスゼロ,マイナスゼロ
Neutral,,,30,名詞,一般,*,*,*,*,ニュートラル,ニュートラル,ニュートラル
AI,,,10,名詞,一般,*,*,*,*,エイアイ,エイアイ,エイアイ
株安,,,10,名詞,一般,*,*,*,*,カブヤス,カブヤス,カブヤス
株高,,,10,名詞,一般,*,*,*,*,カブダカ,カブダカ,カブダカ
円安,,,10,名詞,一般,*,*,*,*,エンヤス,エンヤス,エンヤス
円高,,,10,名詞,一般,*,*,*,*,エンダカ,エンダカ,エンダカ
ﾄﾞﾙ安,,,10,名詞,一般,*,*,*,*,ドルヤス,ドルヤス,ドルヤス
ﾄﾞﾙ高,,,10,名詞,一般,*,*,*,*,ドルダカ,ドルダカ,ドルダカ
牛さん,,,10,名詞,一般,*,*,*,*,ウシサン,ウシサン,ウシサン
サムスン,,,30,名詞,固有名詞,組織,*,*,*,サムスン,サムスン,サムスン
スプリント,,,30,名詞,固有名詞,組織,*,*,*,スプリント,スプリント,スプリント
ｸﾘｱﾜｲﾔ,,,30,名詞,固有名詞,組織,*,*,*,クリアワイヤ,クリアワイヤ,クリアワイヤ
クリアワイヤ,,,30,名詞,固有名詞,組織,*,*,*,クリアワイヤ,クリアワイヤ,クリアワイヤ
ウィルコム,,,30,名詞,固有名詞,組織,*,*,*,ウィルコム,ウィルコム,ウィルコム
ニールセン,,,30,名詞,固有名詞,組織,*,*,*,ニールセン,ニールセン,ニールセン
極洋,,,30,名詞,固有名詞,組織,*,*,*,キョクヨウ,キョクヨウ,キョクヨウ
桧家,,,30,名詞,固有名詞,組織,*,*,*,ヒノキヤ,ヒノキヤ,ヒノキヤ
ショーボンド,,,30,名詞,固有名詞,組織,*,*,*,ショーボンド,ショーボンド,ショーボンド
<company>,,,30,名詞,一般,*,*,*,*,カンパニー,カンパニー,カンパニー
日立産機システム,,,30,名詞,固有名詞,組織,*,*,*,*,ヒタチサンキシステム,ヒタチサンキシステム,ヒタチサンキシステム
日立アプライアンス,,,30,名詞,固有名詞,組織,*,*,*,*,ヒタチアプライアンス,ヒタチアプライアンス,ヒタチアプライアンス
日立国際電気,,,30,名詞,固有名詞,組織,*,*,*,*,ヒタチデンキ,ヒタチデンキ,ヒタチデンキ
日立ソリューションズ,,,30,名詞,固有名詞,組織,*,*,*,*,ヒタチソリューションズ,ヒタチソリューションズ,ヒタチソリューションズ
日立オートモティブシステムズ,,,30,名詞,固有名詞,組織,*,*,*,*,ヒタチオートモティブシステムズ,ヒタチオートモティブシステムズ,ヒタチオートモティブシステムズ
日立LG,,,30,名詞,固有名詞,組織,*,*,*,*,ヒタチエルジー,ヒタチエルジー,ヒタチエルジー
